filename,path,operationId,verb,response_object,tags,stackql_service_name,stackql_resource_name,stackql_method_name,stackql_verb
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies,createAuthorizationServerPolicy,post,AuthorizationServerPolicy,AuthorizationServerPolicies,authorization_servers,policies,create_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId},getAuthorizationServerPolicy,get,AuthorizationServerPolicy,AuthorizationServerPolicies,authorization_servers,policies,get_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId},replaceAuthorizationServerPolicy,put,AuthorizationServerPolicy,AuthorizationServerPolicies,authorization_servers,policies,replace_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId},deleteAuthorizationServerPolicy,delete,,AuthorizationServerPolicies,authorization_servers,policies,delete_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/lifecycle/activate,activateAuthorizationServerPolicy,post,,AuthorizationServerPolicies,authorization_servers,policies,activate_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/lifecycle/deactivate,deactivateAuthorizationServerPolicy,post,,AuthorizationServerPolicies,authorization_servers,policies,deactivate_authorization_server_policy,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules,listAuthorizationServerPolicyRules,get,AuthorizationServerPolicyRule,AuthorizationServerRules,authorization_servers,rules,list_authorization_server_policy_rules,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules,createAuthorizationServerPolicyRule,post,AuthorizationServerPolicyRule,AuthorizationServerRules,authorization_servers,rules,create_authorization_server_policy_rule,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},getAuthorizationServerPolicyRule,get,AuthorizationServerPolicyRule,AuthorizationServerRules,authorization_servers,rules,get_authorization_server_policy_rule,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},replaceAuthorizationServerPolicyRule,put,AuthorizationServerPolicyRule,AuthorizationServerRules,authorization_servers,rules,replace_authorization_server_policy_rule,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId},deleteAuthorizationServerPolicyRule,delete,,AuthorizationServerRules,authorization_servers,rules,delete_authorization_server_policy_rule,
management-minimal.yaml,/api/v1/authorizationServers/{authServerId}/policies/{policyId}/rules/{ruleId}/lifecycle/activate,activateAuthorizationServerPolicyRule,post,,AuthorizationServerRules,authorization_servers,rules,activate_authorization_server_policy_rule,
